video_id,group_id,Question,Answer Options,Correct Answer
a77682da-cae7-4e68-8580-6cb47658b23f,"42.jpg
101.jpg
189.jpg
336.jpg
498.jpg
2072.jpg
2128.jpg
7123.jpg
7483.jpg",What did the viewer look at immediately after placing the phone on the table?,"A: The tablet
B: The piano keys
C: The music sheet on the tablet
D: The lamp on the desk
E: The window",A
4e07da0c-450f-4c37-95e9-e793cb5d8f7f,"0.jpg
176.jpg
498.jpg
698.jpg
730.jpg
872.jpg
950.jpg
1347.jpg
1413.jpg",What did the viewer look at immediately after unzipping the bag on the floor for the second time?,"A: The mirror on the wall.
B: The french horn in their left hand.
C: The tuner inside the bag.
D: The items hanging on the wall.
E: The floor near the bag.",C
4e07da0c-450f-4c37-95e9-e793cb5d8f7f,"4116.jpg
4188.jpg
4337.jpg
4793.jpg
5040.jpg
7637.jpg
7708.jpg
7804.jpg
7864.jpg",What did the viewer look at immediately after adjusting the camera with her right hand?,"A: The music notes on the stand.
B: The mirror on the wall.
C: The french horn in her left hand.
D: The jacket hanging on the hook.
E: The door in the background.",C
4e07da0c-450f-4c37-95e9-e793cb5d8f7f,"9975.jpg
10059.jpg
11667.jpg
11831.jpg
11973.jpg
12101.jpg
12211.jpg
13177.jpg
13412.jpg",What did the viewer look at immediately after adjusting her left sleeve with her right hand?,"A: The music book on the stand.
B: The mirror on the wall.
C: The door in front of her.
D: The jacket hanging on the hook.
E: The french horn in her hands.",A
b70b1c34-46b6-49af-bddb-505dc7738f96,"123.jpg
690.jpg
754.jpg
856.jpg
884.jpg
909.jpg
1032.jpg
1125.jpg
1205.jpg",What did the viewer look at immediately after picking up a memory card container?,"A: The television screen displaying game options.
B: The floor near the entertainment unit.
C: The shelf where the memory cards are stored.
D: The remote control on the table.
E: The curtains in the room.",C
b70b1c34-46b6-49af-bddb-505dc7738f96,"1906.jpg
1927.jpg
1992.jpg
2065.jpg
2333.jpg
2390.jpg
2516.jpg
2548.jpg
2708.jpg",What did the viewer look at immediately after putting down the memory card?,"A: The television screen
B: The box on the floor
C: The table where Woman A put her hand
D: The memory card slot
E: The floor",A
b70b1c34-46b6-49af-bddb-505dc7738f96,"3417.jpg
3751.jpg
3788.jpg
3826.jpg
3921.jpg
3955.jpg
4047.jpg
4205.jpg
4261.jpg",What did the viewer look at immediately after putting down the craft material in Frame 6?,"A: The television
B: Another piece of craft material in the box
C: The floor
D: The table with other objects
E: The couch",A
b70b1c34-46b6-49af-bddb-505dc7738f96,"4752.jpg
4819.jpg
5244.jpg
5464.jpg
5631.jpg
5711.jpg
5934.jpg
6040.jpg
6354.jpg",What did the viewer look at immediately after picking up the game controller?,"A: The television screen displaying the game instructions.
B: The carton on the floor.
C: Woman A adjusting her camera.
D: The couch in the living room.
E: The variety kit box.",A
b70b1c34-46b6-49af-bddb-505dc7738f96,"7539.jpg
7995.jpg
8167.jpg
8195.jpg
8199.jpg
8214.jpg
8227.jpg
8279.jpg
8313.jpg",What did the viewer look at immediately after putting down the craft material in Frame 3?,"A: The television screen
B: The woman's hands as she presses the craft material
C: The floor where the craft materials are scattered
D: The shelf with various items
E: The table where the craft materials are being assembled",A
b70b1c34-46b6-49af-bddb-505dc7738f96,"9077.jpg
9114.jpg
9201.jpg
9316.jpg
9399.jpg
9428.jpg
9527.jpg
9606.jpg
9658.jpg",What did the viewer look at immediately after picking up the craft material in Frame 8?,"A: The woman's hands as she presses the craft material.
B: The floor where the scattered craft pieces are lying.
C: The television screen showing instructions.
D: The shelf with various items in the background.
E: The table where the woman is working.",B
b70b1c34-46b6-49af-bddb-505dc7738f96,"12314.jpg
12495.jpg
12687.jpg
12810.jpg
12929.jpg
13053.jpg
13130.jpg
13277.jpg
13371.jpg",What did the viewer look at immediately after pointing a finger towards the craft material?,"A: The television screen
B: The scissors on the table
C: The completed craft piece
D: The woman curving the craft material
E: The floor",D
b70b1c34-46b6-49af-bddb-505dc7738f96,"14459.jpg
14828.jpg
14850.jpg
14865.jpg
15039.jpg
15117.jpg
15166.jpg
15742.jpg
15986.jpg",What did the viewer look at immediately after giving the craft material to Woman A?,"A: The television screen showing instructions.
B: The game controller on the floor.
C: The pieces of craft material on the table.
D: The computer monitor displaying a 3D model.
E: The woman as she curves the craft material.",E
b70b1c34-46b6-49af-bddb-505dc7738f96,"16952.jpg
17002.jpg
17150.jpg
17226.jpg
17587.jpg
17617.jpg
17878.jpg
17924.jpg",What did the viewer look at immediately after putting down a piece of craft material?,"A: The television screen
B: Another piece of craft material on the table
C: The game controller
D: The woman holding craft material
E: The floor",B
5a6cc114-5581-4e04-9c60-843e6248da99,"77.jpg
330.jpg
578.jpg
633.jpg
776.jpg
978.jpg
1010.jpg
1105.jpg
1501.jpg",What did C look at immediately after handing over her phone to a woman B?,"A: The couch where the phone was thrown
B: A woman B as she pulls her trousers up
C: The carpet where they are sitting
D: The camera that needs adjustment
E: The shelf in the background",B
5a6cc114-5581-4e04-9c60-843e6248da99,"3005.jpg
3213.jpg
3497.jpg
4117.jpg
4311.jpg
4649.jpg
4874.jpg
4956.jpg
5064.jpg",What did the viewer look at immediately after C adjusted her camera in Frame 4?,"A: The cards on the carpet
B: A woman B
C: The phone on the floor
D: The kitchen area
E: The plastic bag",B
5a6cc114-5581-4e04-9c60-843e6248da99,"7371.jpg
7456.jpg
7512.jpg
8054.jpg
8172.jpg
8339.jpg
8561.jpg
9027.jpg
9142.jpg",What did the viewer look at immediately after organizing her cards in Frame 5?,"A: The manual paper on the carpet
B: A card she dropped on the carpet
C: The cards being placed by a woman B
D: Her own camera
E: The plastic bag with additional cards",B
5a6cc114-5581-4e04-9c60-843e6248da99,"11810.jpg
11846.jpg
11958.jpg
12262.jpg
12548.jpg
12641.jpg
12792.jpg
12853.jpg
13001.jpg",What did the viewer look at immediately after a woman B placed a card on the carpet?,"A: The cards in her own hand.
B: The paper lying on the carpet.
C: A woman B's face.
D: The other cards on the carpet.
E: The couch.",D
5a6cc114-5581-4e04-9c60-843e6248da99,"14287.jpg
14358.jpg
14420.jpg
14447.jpg
14531.jpg
14637.jpg
14752.jpg
14982.jpg
15017.jpg",What did the viewer look at immediately after a woman B placed a card on the carpet in Frame 8?,"A: The cards being organized by C.
B: The couch in the background.
C: The floor near the pink object.
D: The table with items on it.
E: The ceiling fan.",A
5a6cc114-5581-4e04-9c60-843e6248da99,"16566.jpg
16630.jpg
16831.jpg
16895.jpg
16951.jpg
17042.jpg
17303.jpg
17360.jpg
17490.jpg",What did the viewer look at immediately after placing a card on the carpet in Frame 7?,"A: The cards held by the woman B.
B: The paper lying on the carpet.
C: The cards already placed on the carpet.
D: The woman B's hand as she places her own card.
E: The plastic bag near the cards.",C
7eaebd26-b486-4f5f-9882-8de183348c99,"17.jpg
107.jpg
145.jpg
243.jpg
270.jpg
357.jpg
402.jpg
486.jpg
532.jpg",What did the viewer look at immediately after unfolding the paper in Frame 9?,"A: The playing card on the couch.
B: The television screen.
C: Man X leaning on the couch.
D: The floor near the red stool.
E: The window.",A
7eaebd26-b486-4f5f-9882-8de183348c99,"1218.jpg
1414.jpg
1450.jpg
1510.jpg
1564.jpg
1610.jpg
1621.jpg
1652.jpg
1693.jpg",What did the viewer look at immediately after man X put the pack on the couch?,"A: The playing cards in man X's hands.
B: The paper on the couch.
C: The remote control on the floor.
D: The teddy bear on the sofa.
E: The window.",A
7eaebd26-b486-4f5f-9882-8de183348c99,"2216.jpg
2241.jpg
2276.jpg
2348.jpg
2390.jpg
2475.jpg
2560.jpg
2653.jpg
2721.jpg",What did the viewer look at immediately after putting a pack of playing cards on the couch?,"A: The paper on the couch.
B: Man X shuffling the playing cards.
C: The floor near the couch.
D: The other hand holding playing cards.
E: The ceiling above.",D
7eaebd26-b486-4f5f-9882-8de183348c99,"3854.jpg
3900.jpg
3905.jpg
3986.jpg
4020.jpg
4107.jpg
4128.jpg
4256.jpg
4285.jpg",What did the viewer look at immediately after man X put a playing card on the couch in Frame 8?,"A: The playing cards already on the couch.
B: Man X's hand as he was putting down the card.
C: The instruction paper on the couch.
D: The teddy bear on the sofa in the background.
E: The wall decorations.",A
7eaebd26-b486-4f5f-9882-8de183348c99,"4819.jpg
4845.jpg
4895.jpg
4922.jpg
4938.jpg
4992.jpg
5004.jpg
5063.jpg
5087.jpg",What did the viewer look at immediately after man X put a playing card on the couch in Frame 5?,"A: The cards already placed on the couch.
B: Man X's hand as he was putting down the card.
C: The instruction paper on the table.
D: The other person's hand holding cards.
E: The wall with pictures.",A
7eaebd26-b486-4f5f-9882-8de183348c99,"6074.jpg
6239.jpg
6311.jpg
6377.jpg
6577.jpg
6642.jpg
6732.jpg
6786.jpg
6976.jpg",What did the viewer look at immediately after picking up a playing card from the couch?,"A: The paper on the couch.
B: Man X's playing cards.
C: The teddy bear on the sofa.
D: The carpet pattern.
E: The glass table.",A
7eaebd26-b486-4f5f-9882-8de183348c99,"7863.jpg
7934.jpg
8023.jpg
8155.jpg
8184.jpg
8260.jpg
8311.jpg
8381.jpg
8525.jpg",What did the viewer look at immediately after turning around and noticing man X holding playing cards?,"A: The teddy bear on the couch.
B: The paper on the sofa.
C: The window blinds.
D: The television in the background.
E: The glass table.",B
7eaebd26-b486-4f5f-9882-8de183348c99,"9748.jpg
9774.jpg
9891.jpg
9948.jpg
10115.jpg
10179.jpg
10219.jpg
10283.jpg
10336.jpg",What did the viewer look at immediately after turning to the side in Frame 4?,"A: The paper on the couch.
B: The person sitting across from them.
C: The television screen.
D: Their own hands.
E: The floor.",A
7eaebd26-b486-4f5f-9882-8de183348c99,"10925.jpg
10985.jpg
11259.jpg
11310.jpg
11362.jpg
11405.jpg
11437.jpg
11474.jpg
11592.jpg",What did the viewer look at immediately after placing a playing card on the couch?,"A: The person sitting across from them.
B: The television in the background.
C: The table with the glass and remote.
D: The other cards in their hand.
E: The floor near the couch.",D
