video_id,group_id,Question,Answer Options,Correct Answer
OP01-R01-PastaSalad,"9601.jpg
9779.jpg
9902.jpg
9935.jpg
9974.jpg
10025.jpg
10167.jpg
10308.jpg
10354.jpg",What did the viewer look at immediately after cutting the cucumber in Frame 4?,"A: The plate with the cut pieces of cucumber.
B: The onion on the plate.
C: The knife in their hand.
D: The lid on the countertop.
E: The sink.",A
OP01-R01-PastaSalad,"3126.jpg
3378.jpg
3618.jpg
3670.jpg
3712.jpg
3754.jpg
3802.jpg
3858.jpg
3903.jpg",What did the viewer look at immediately after cutting the tomato in the sixth keyframe?,"A: The knife on the counter.
B: The fridge door.
C: The onion inside the fridge.
D: The plate with the cut tomatoes.
E: The kitchen sink.",B
OP01-R02-TurkeySandwich,"5831.jpg
5906.jpg
5934.jpg
5959.jpg
5978.jpg
6011.jpg
6045.jpg
6068.jpg
6105.jpg",What did the viewer look at immediately after placing the lettuce on the sandwich in Frame 4?,"A: The tomato slices on the plate.
B: The deli meat on the counter.
C: The sandwich bread.
D: The kitchen sink.
E: The refrigerator.",A
OP01-R02-TurkeySandwich,"6909.jpg
7083.jpg
7132.jpg
7177.jpg
7329.jpg
7489.jpg
7530.jpg
7581.jpg
7639.jpg",What did the viewer look at immediately after putting the cheese on the sandwich?,"A: The lettuce container
B: The bread container
C: The deli meat container
D: The cheese container
E: The fridge",D
OP01-R03-BaconAndEggs,"16761.jpg
16803.jpg
16843.jpg
16904.jpg
16975.jpg
17654.jpg
18318.jpg
18352.jpg
18386.jpg",What did the viewer look at immediately after placing the cooking utensil on the stove?,"A: The bacon in the pan.
B: The egg being cooked.
C: The eating utensils on the counter.
D: The bacon container on the table.
E: The pot lid on the stove.",C
OP01-R03-BaconAndEggs,"14187.jpg
14257.jpg
14303.jpg
14342.jpg
14802.jpg
15252.jpg
15311.jpg
15407.jpg
15508.jpg",What did the viewer look at immediately after transferring the eggs from the pan to the plate?,"A: The stove's control panel.
B: The cup on the counter.
C: The spatula in their hand.
D: The pot on the stove.
E: The sink.",C
OP01-R04-ContinentalBreakfast,"6647.jpg
6699.jpg
6815.jpg
6920.jpg
6957.jpg
6990.jpg
7027.jpg
7150.jpg
7266.jpg",What did the viewer look at immediately after pouring milk into the bowl?,"A: The honey container
B: The salt shaker
C: The condiment container
D: The refrigerator
E: The cup",C
OP01-R04-ContinentalBreakfast,"4392.jpg
4521.jpg
4672.jpg
4873.jpg
5085.jpg
5279.jpg
5438.jpg
5481.jpg
5506.jpg",What did the viewer look at immediately after spreading the mixture on the bread in Frame 3?,"A: The eating utensil
B: The condiment container
C: The empty bowl
D: The bread being spread
E: The countertop",A
OP01-R05-Cheeseburger,"643.jpg
696.jpg
761.jpg
813.jpg
847.jpg
876.jpg
910.jpg
965.jpg
1019.jpg",What did the viewer look at immediately after taking a patty from the container?,"A: The stove where the patty was placed.
B: The inside of the fridge.
C: The countertop near the sink.
D: The patty container lid.
E: The cooking pan on the stove.",A
OP01-R05-Cheeseburger,"9250.jpg
9278.jpg
9681.jpg
10103.jpg
10144.jpg
10187.jpg
10246.jpg
10289.jpg
10314.jpg",What did the viewer look at immediately after taking the condiment container?,"A: The stove
B: The plate with bread slices
C: The bottle of mustard
D: The kitchen counter
E: The sandwich ingredients",B
OP01-R07-Pizza,"8651.jpg
8688.jpg
8719.jpg
8955.jpg
9198.jpg
9489.jpg
9836.jpg
10199.jpg
10567.jpg",What did the viewer look at immediately after stirring the mushrooms in the pan?,"A: The phone on the counter.
B: The sausage container on the countertop.
C: The stove controls.
D: The lid of the pot on the stove.
E: The knife on the cutting board.",A
OP01-R07-Pizza,"3744.jpg
3989.jpg
4173.jpg
4268.jpg
4313.jpg
4386.jpg
4441.jpg
4527.jpg
4616.jpg",What did the viewer look at immediately after cutting the bell pepper and before taking the bell pepper container?,"A: The knife on the plate.
B: The bottle of oil in the background.
C: The chopped bell peppers on the plate.
D: The empty space on the counter.
E: The mushroom container.",C
OP02-R01-PastaSalad,"904.jpg
1001.jpg
1319.jpg
1633.jpg
1722.jpg
1990.jpg
2458.jpg
2974.jpg
3293.jpg",What did the viewer look at immediately after cutting the tomato?,"A: The bottle of lemon juice.
B: The cucumber on the plate.
C: The knife in their hand.
D: The empty plate next to the ingredients.
E: The jar of spices.",B
OP02-R01-PastaSalad,"904.jpg
1001.jpg
1319.jpg
1633.jpg
1722.jpg
1990.jpg
2458.jpg
2974.jpg
3293.jpg",What did the viewer look at immediately after cutting the tomato?,"A: The bottle of lemon juice.
B: The cucumber on the plate.
C: The knife in their hand.
D: The empty plate next to the ingredients.
E: The container of salt.",B
OP02-R02-TurkeySandwich,"1990.jpg
2194.jpg
2396.jpg
2417.jpg
2447.jpg
2494.jpg
2541.jpg
2607.jpg
2720.jpg",What did the viewer look at immediately after cutting the tomato in the second keyframe?,"A: The salt container
B: The knife on the counter
C: The plate with the cut tomato
D: The refrigerator
E: The lettuce container",C
OP02-R02-TurkeySandwich,"1990.jpg
2194.jpg
2396.jpg
2417.jpg
2447.jpg
2494.jpg
2541.jpg
2607.jpg
2720.jpg",What did the viewer look at immediately after cutting the tomato?,"A: The salt container
B: The knife on the counter
C: The plate with the cut tomato
D: The refrigerator
E: The lettuce container",C
OP02-R03-BaconAndEggs,"11826.jpg
12016.jpg
12243.jpg
12378.jpg
12416.jpg
12472.jpg
12522.jpg
12592.jpg
12661.jpg",What did the viewer look at immediately after spreading the condiment on the bread?,"A: The cream cheese container lid
B: The eggs on the counter
C: The knife used for spreading
D: The plate with the spread condiment
E: The sandwich being compressed",C
OP02-R03-BaconAndEggs,"626.jpg
719.jpg
826.jpg
887.jpg
981.jpg
1093.jpg
1156.jpg
1226.jpg
1299.jpg",What did the viewer look at immediately after cracking the egg?,"A: The milk container in the fridge
B: The bowl on the counter
C: The eggs in the carton
D: The plates and utensils on the table
E: The sink",B
OP02-R04-ContinentalBreakfast,"6417.jpg
6569.jpg
6630.jpg
6707.jpg
6781.jpg
6828.jpg
6862.jpg
6944.jpg
7034.jpg",What did the viewer look at immediately after pouring cereal into the bowl?,"A: The milk container in the fridge.
B: The bread on the plate.
C: The cereal box inside the cabinet.
D: The empty grocery bag.
E: The knife on the counter.",C
